S.No,Model,Category Code,Category,Estimated Energy (kWh),Avg CO2 Emission (g),Tokens Used,Grid Intensity (gCO2/kWh),Measurement Method,Source Reference,Experiment Batch ID
919,GPT-4,P1,Physics Basic,0.0008,0.2797,735,625,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-10
920,GPT-4,C4,Code LeetCode Easy,0.001161,0.6,458,625,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-2
921,Llama-3 70B,M2,Math Algebra,0.00048,0.2155,1249,625,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-4
922,Llama-3 70B,C2,Code API/JSON,0.0004391,0.206,1795,20,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-6
923,Claude 3,G3,General Long,0.0009792,0.34,154,20,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-10
924,Grok-1.5,M1,Math Basic,0.0012565,0.61707,1407,240,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-5
925,Llama-3 70B,M4,Math Advanced,0.0006595,0.2276,1394,625,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-6
926,Claude 3,P4,Physics Quantum,0.0023,0.93,189,625,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-3
927,Grok-1.5,C4,Code LeetCode Easy,0.0013,0.74219,1599,240,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-4
928,Claude 3,R3,Reasoning Puzzle,0.0022,1.063,1015,625,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-9
929,Llama-3 70B,P3,Physics EM,0.0003281,0.13,1691,240,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-10
930,Grok-1.5,M3,Math Calculus,0.0022,1.16308,1496,240,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-7
931,Grok-1.5,C5,Code LeetCode Hard,0.0034,1.345,1768,623,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-10
932,Claude 3,C2,Code API/JSON,0.001335,0.568,1710,20,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-15
933,Claude 3,R1,Reasoning Basic,0.0009,0.4,310,240,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-9
934,GPT-4,M4,Math Advanced,0.0019375,1.0769,203,240,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-7
935,Grok-1.5,C4,Code LeetCode Easy,0.0014,0.4205,687,419,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-15
936,GPT-4,G3,General Long,0.001023,0.52002,239,623,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-2
937,Llama-3 70B,G1,General Short,0.0003884,0.2078,1474,20,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-13
938,Grok-1.5,R3,Reasoning Puzzle,0.0032,1.42,1727,623,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-3
939,GPT-4,G2,General Medium,0.0008798,0.29632,1746,419,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-10
940,GPT-4,R1,Reasoning Basic,0.00098,0.45,1497,240,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-15
941,Llama-3 70B,M3,Math Calculus,0.0007,0.369,504,20,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-5
942,GPT-4,M3,Math Calculus,0.001756,0.77079,704,623,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-14
943,GPT-4,R1,Reasoning Basic,0.0008329,0.53,1002,625,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-4
944,Claude 3,M4,Math Advanced,0.0021,0.89,367,625,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-14
945,Claude 3,P4,Physics Quantum,0.0025,1.02,575,623,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-9
946,Llama-3 70B,M2,Math Algebra,0.000414,0.188,614,419,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-11
947,Llama-3 70B,M2,Math Algebra,0.00047,0.247,679,623,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-15
948,GPT-4,R2,Reasoning Logical,0.0011,0.6252,294,623,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-2
949,GPT-4,R2,Reasoning Logical,0.0010157,0.5298,704,625,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-14
950,GPT-4,M5,Math Olympiad,0.002109,0.84,1295,623,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-2
951,Llama-3 70B,M5,Math Olympiad,0.000779,0.41,940,625,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-1
952,Claude 3,M1,Math Basic,0.001,0.398,1211,625,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-1
953,Claude 3,M4,Math Advanced,0.00228,,1160,625,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-14
954,Claude 3,M2,Math Algebra,0.00131,0.64233,1267,419,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-15
955,Llama-3 70B,P1,Physics Basic,0.0003152,0.1438,1426,623,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-14
956,GPT-4,C1,Code Basic,0.00089,0.49,151,625,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-3
957,GPT-4,R3,Reasoning Puzzle,0.0016239,0.891,850,20,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-2
958,Claude 3,R2,Reasoning Logical,0.0010681,0.66,665,623,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-9
959,Grok-1.5,P2,Physics Mechanics,0.0016754,0.7618,411,419,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-7
960,Llama-3 70B,G1,General Short,0.00034,0.1995,903,419,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-2
961,GPT-4,M2,Math Algebra,0.00103,0.3567,1756,240,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-9
962,Grok-1.5,M2,Math Algebra,0.001747,,535,625,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-5
963,Claude 3,P2,Physics Mechanics,0.00107,0.548,324,20,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-3
964,Grok-1.5,M4,Math Advanced,0.0028404,1.37051,845,623,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-15
965,Llama-3 70B,G2,General Medium,0.00032,0.117,149,623,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-7
966,Grok-1.5,M5,Math Olympiad,0.00336,1.248,293,623,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-10
967,GPT-4,C4,Code LeetCode Easy,0.000895,0.2755,496,20,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-8
968,Claude 3,C4,Code LeetCode Easy,0.0011,,220,419,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-3
969,Llama-3 70B,C1,Code Basic,0.000372,0.124,421,240,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-5
970,Grok-1.5,G1,General Short,0.001309,0.805,1361,20,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-8
971,GPT-4,P4,Physics Quantum,0.0020509,1.23896,383,419,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-1
972,Grok-1.5,G1,General Short,0.00132,0.558,1169,20,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-6
973,Claude 3,C2,Code API/JSON,0.0013,0.7436,1596,625,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-12
974,GPT-4,P2,Physics Mechanics,0.0010415,0.63,1772,240,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-8
975,Claude 3,R2,Reasoning Logical,0.001,0.47422,1554,419,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-7
976,Claude 3,P3,Physics EM,0.00109,0.44,1477,419,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-13
977,Claude 3,M2,Math Algebra,0.001412,0.7953,1562,240,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-2
978,GPT-4,R3,Reasoning Puzzle,0.00165,0.51318,339,20,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-10
979,Claude 3,R2,Reasoning Logical,0.0012304,0.646,312,240,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-4
980,Claude 3,G3,General Long,0.0011797,0.58,340,625,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-12
981,GPT-4,P2,Physics Mechanics,0.0008,0.36442,1418,20,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-10
982,Llama-3 70B,M4,Math Advanced,0.0006098,0.2616,1084,419,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-6
983,GPT-4,C1,Code Basic,0.001,0.46821,487,20,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-10
984,GPT-4,G2,General Medium,0.001,0.46154,1119,419,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-1
985,Claude 3,P1,Physics Basic,0.000881,0.4395,1761,623,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-4
986,Llama-3 70B,R2,Reasoning Logical,0.00034,,333,419,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-2
987,Grok-1.5,M4,Math Advanced,0.003165,1.3732,1672,20,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-8
988,Claude 3,M3,Math Calculus,0.00191,1.14921,135,240,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-15
989,GPT-4,G3,General Long,0.00109,0.4102,1081,240,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-13
990,GPT-4,P4,Physics Quantum,0.00221,0.972,882,419,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-14
991,Claude 3,M2,Math Algebra,0.0012507,0.5099,1192,623,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-2
992,Llama-3 70B,M1,Math Basic,0.0003139,0.135,805,240,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-14
993,Claude 3,R2,Reasoning Logical,0.001086,0.628,1671,623,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-13
994,Grok-1.5,G3,General Long,0.0016,0.57996,390,20,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-12
995,Grok-1.5,M3,Math Calculus,0.002115,0.93,220,20,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-12
996,GPT-4,P2,Physics Mechanics,0.0008614,0.28,1408,20,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-15
997,Llama-3 70B,M2,Math Algebra,0.00042,0.18945,400,419,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-2
998,Grok-1.5,R3,Reasoning Puzzle,0.00248,1.02305,672,419,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-9
999,Llama-3 70B,C1,Code Basic,0.000372,0.186,450,623,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-3
1000,Grok-1.5,C1,Code Basic,0.0013,0.60572,232,623,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-6
1001,Claude 3,P1,Physics Basic,0.001154,0.5703,1710,419,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-9
1002,Grok-1.5,M1,Math Basic,0.0012785,0.44,521,240,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-1
1003,Grok-1.5,G2,General Medium,0.0014,0.7144,415,20,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-13
1004,Grok-1.5,C4,Code LeetCode Easy,0.0012,0.5,795,623,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-3
1005,Llama-3 70B,R1,Reasoning Basic,0.0003,0.1378,602,625,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-4
1006,Grok-1.5,M4,Math Advanced,0.002889,1.44432,972,20,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-3
1007,GPT-4,C3,Code DS/Algo,0.001043,0.327,123,623,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-6
1008,Grok-1.5,R1,Reasoning Basic,0.0015,0.52235,1250,625,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-4
1009,GPT-4,P3,Physics EM,0.0010292,0.61099,1558,20,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-13
1010,Claude 3,C4,Code LeetCode Easy,0.0009154,0.306,284,419,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-7
1011,Llama-3 70B,R1,Reasoning Basic,0.0004,0.18,624,419,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-11
1012,Grok-1.5,M2,Math Algebra,0.001771,0.805,866,240,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-12
1013,Llama-3 70B,R1,Reasoning Basic,0.0003758,0.186,939,419,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-3
1014,Claude 3,P1,Physics Basic,0.0010266,0.424,800,625,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-10
1015,Grok-1.5,C5,Code LeetCode Hard,0.003066,1.81795,1229,625,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-12
1016,Llama-3 70B,G2,General Medium,0.0004,0.167,484,419,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-2
1017,Llama-3 70B,M1,Math Basic,0.0004,0.189,1601,240,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-10
1018,Llama-3 70B,M2,Math Algebra,0.0003989,0.116,1315,623,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-5
1019,GPT-4,M1,Math Basic,0.0009,0.3579,1637,419,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-3
1020,Claude 3,R3,Reasoning Puzzle,0.0024907,0.8125,238,20,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-4
1021,GPT-4,G2,General Medium,0.0009,0.468,509,20,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-1
1022,Grok-1.5,G1,General Short,0.00128,0.58405,334,240,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-10
1023,Claude 3,M5,Math Olympiad,0.002416,0.743,1732,419,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-10
1024,GPT-4,P2,Physics Mechanics,0.0008,0.277,229,625,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-12
1025,Grok-1.5,C2,Code API/JSON,0.0018252,0.886,955,240,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-8
1026,Llama-3 70B,M3,Math Calculus,0.00064,0.337,179,240,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-4
1027,GPT-4,G3,General Long,0.0009017,0.49553,1161,623,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-4
1028,Grok-1.5,C5,Code LeetCode Hard,0.003115,1.2196,594,240,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-1
1029,Grok-1.5,C3,Code DS/Algo,0.00166,0.566,378,419,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-13
1030,GPT-4,C1,Code Basic,0.00098,0.521,978,625,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-1
1031,Claude 3,R1,Reasoning Basic,0.0011002,0.5746,306,20,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-4
1032,Llama-3 70B,C1,Code Basic,0.00032,0.111,1775,625,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-14
1033,Llama-3 70B,M3,Math Calculus,0.0005896,0.189,1476,625,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-14
1034,Llama-3 70B,P3,Physics EM,0.0003171,0.09716,1505,623,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-13
1035,GPT-4,M3,Math Calculus,0.0017,1.0108,1745,625,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-7
1036,Llama-3 70B,M2,Math Algebra,0.0004372,0.2443,386,240,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-10
1037,Claude 3,P2,Physics Mechanics,0.000917,0.52868,505,623,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-14
1038,Grok-1.5,R2,Reasoning Logical,0.0017,0.65151,827,20,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-12
1039,Llama-3 70B,P3,Physics EM,0.000411,0.2456,1343,625,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-1
1040,Claude 3,G2,General Medium,0.0011,0.4179,822,625,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-15
1041,Llama-3 70B,C5,Code LeetCode Hard,0.000884,0.45,236,625,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-3
1042,Llama-3 70B,G3,General Long,0.000394,0.21722,1554,20,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-14
1043,GPT-4,P2,Physics Mechanics,0.0009116,0.438,529,625,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-1
1044,GPT-4,P2,Physics Mechanics,0.000959,0.5813,1102,623,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-5
1045,Llama-3 70B,C5,Code LeetCode Hard,0.0007572,0.251,277,240,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-4
1046,Claude 3,R3,Reasoning Puzzle,0.00193,0.7988,527,419,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-4
1047,Llama-3 70B,R1,Reasoning Basic,0.00032,0.1495,290,20,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-6
1048,GPT-4,M2,Math Algebra,0.001165,0.551,1045,240,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-15
